📺央视频道,#genre#
CCTV-1,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.134.67.179/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.135.133.172/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.135.133.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.134.66.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.134.67.155/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.134.65.196/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.134.65.133/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2,http://39.134.67.179/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.65.175/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.65.133/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.67.155/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.66.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.65.196/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV-3,http://39.134.65.175/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://39.134.66.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://39.135.133.173/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://39.135.133.172/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://39.134.65.196/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://39.134.67.155/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4,http://39.134.67.179/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4,http://39.134.65.175/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4,http://39.135.133.172/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4,http://39.134.66.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4,http://39.135.133.173/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4,http://39.134.67.155/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4,http://39.134.65.196/PLTV/88888888/224/3221225797/1.m3u8
CCTV-5,http://39.134.67.179/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://39.134.65.175/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://39.134.67.155/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://39.134.66.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://39.135.133.173/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://39.135.133.172/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://39.134.65.133/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5+,http://39.134.65.175/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+,http://39.134.66.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+,http://39.134.67.155/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+,http://39.134.65.133/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+,http://39.134.65.196/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+,http://39.135.133.173/PLTV/88888888/224/3221225507/1.m3u8
CCTV-5+,http://39.135.133.172/PLTV/88888888/224/3221225507/1.m3u8
CCTV-6,http://39.134.65.175/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://39.134.66.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://39.134.67.155/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://39.135.133.173/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://39.135.133.172/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://39.134.65.196/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7,http://39.134.65.175/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7,http://39.134.67.179/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7,http://39.135.133.172/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7,http://39.134.67.155/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7,http://39.134.66.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7,http://39.134.65.133/PLTV/88888888/224/3221225671/1.m3u8
CCTV-7,http://39.135.133.173/PLTV/88888888/224/3221225671/1.m3u8
CCTV-8,http://39.134.65.175/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8,http://39.134.67.179/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8,http://39.134.66.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8,http://39.134.67.155/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8,http://39.134.65.196/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8,http://39.135.133.172/PLTV/88888888/224/3221225795/1.m3u8
